patong,promthep,wat
"[[('ดี', 'ADJ')], [('แต่', 'CCONJ'), ('ค่อนข้าง', 'VERB'), ('แออัด', 'NOUN')], [('หาด', 'NOUN'), ('อื่นๆ', 'PROPN')], [('ใน', 'ADP'), ('บริเวณ', 'NOUN'), ('ใกล้เคียง', 'ADV'), ('นั้น', 'DET'), ('ดี', 'ADJ'), ('กว่า', 'ADV')]]","[[('จุด', 'NOUN'), ('ชม', 'VERB'), ('วิ', 'VERB'), ('วดี', 'NOUN')], [('แต่', 'CCONJ'), ('ควร', 'VERB'), ('เดิน', 'VERB'), ('ลง', 'PART'), ('ไป', 'PART'), ('ที่', 'ADP'), ('ชายฝั่ง', 'NOUN'), ('ใกล้', 'ADV'), ('ๆ', 'SYM')], [('ใช้', 'VERB'), ('เวลา', 'NOUN'), ('ประมาณ', 'ADV'), ('สี่', 'NUM'), ('สิบ', 'NUM'), ('ห้า', 'NUM'), ('หก', 'NUM'), ('สิบ', 'NUM'), ('นาที', 'NOUN'), ('เพื่อ', 'ADP'), ('ให้', 'VERB'), ('เส้นทาง', 'VERB'), ('เล็ก', 'ADJ'), ('ๆ', 'SYM')], [('คุ้มค่า', 'NOUN')]]","[[('เป็น', 'AUX'), ('สถานที่', 'NOUN'), ('ที่', 'DET'), ('ดี', 'ADJ'), ('และ', 'CCONJ'), ('เป็น', 'AUX'), ('ที่', 'PRON'), ('นิยม', 'VERB'), ('มาก', 'ADV'), ('ๆ', 'SYM')], [('ถ้า', 'ADP'), ('คุณ', 'PRON'), ('มอง', 'VERB'), ('ด้วย', 'ADV'), ('ตัว', 'NOUN'), ('คุณ', 'PRON'), ('เอง', 'PRON'), ('คุณ', 'PRON'), ('สามารถ', 'VERB'), ('หา', 'VERB'), ('สถานที่', 'NOUN'), ('ที่', 'DET'), ('ดี', 'ADJ'), ('กว่า', 'ADV'), ('โดย', 'ADP'), ('ไม่', 'PART'), ('ต้อง', 'VERB'), ('นักท่องเที่ยว', 'VERB')]]"
"[[('ทราย', 'NOUN'), ('ที่', 'DET'), ('ดี', 'ADJ'), ('แออัด', 'ADV'), ('มาก', 'ADV')], [('น้ำ', 'NOUN'), ('ไม่', 'PART'), ('ชัดเจน', 'ADJ'), ('จริงๆ', 'NOUN')], [('ฉัน', 'PRON'), ('เคย', 'PART'), ('มี', 'VERB'), ('คลื่น', 'NOUN')], [('แต่', 'CCONJ'), ('โดย', 'ADP'), ('รวม', 'VERB'), ('แล้ว', 'PART'), ('เป็น', 'AUX'), ('ชายหาด', 'NOUN'), ('ที่', 'DET'), ('สนุก', 'VERB')]]","[[('จุด', 'NOUN'), ('ชม', 'VERB'), ('วิว', 'VERB'), ('ที่', 'ADP'), ('น่าตื่นตาตื่นใจ', 'VERB')]]","[[('การ', 'NOUN'), ('ค้นพบ', 'VERB'), ('ที่', 'DET'), ('ยอดเยี่ยม', 'ADJ'), ('ใน', 'ADP'), ('ส่วน', 'NOUN'), ('ของ', 'ADP'), ('เรา', 'PRON'), ('โดย', 'ADP'), ('ไม่', 'PART'), ('เสียค่าใช้จ่าย', 'VERB'), ('เรา', 'PRON'), ('สามารถ', 'VERB'), ('สำรวจ', 'VERB'), ('พื้นที่', 'NOUN'), ('ต่างๆ', 'VERB')], [('มากมาย', 'ADJ'), ('และ', 'CCONJ'), ('เรียนรู้', 'VERB'), ('เพิ่มเติม', 'VERB'), ('เกี่ยวกับ', 'ADP'), ('ศาสนา', 'NOUN')]]"
"[[('แออัด', 'PROPN')], [('แต่', 'CCONJ'), ('ดี', 'ADJ')]]","[[('จุด', 'NOUN'), ('ชม', 'VERB'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB'), ('ที่', 'DET'), ('สวยงาม', 'ADJ'), ('ของ', 'ADP'), ('ภูเก็ต', 'NOUN'), ('ประเทศ', 'NOUN'), ('ไทย', 'PROPN')], [('ขับรถ', 'NOUN'), ('จาก', 'ADP'), ('ตัวเมือง', 'NOUN'), ('ภูเก็ต', 'NOUN'), ('ประมาณ', 'ADV'), ('สาม', 'NUM'), ('สิบ', 'NUM'), ('นาที', 'NOUN')], [('มัน', 'PRON'), ('สมบูรณ์แบบ', 'VERB')]]","[[('จะ', 'VERB'), ('ต้อง', 'VERB'), ('หยุด', 'VERB'), ('ใน', 'ADP'), ('ระหว่าง', 'ADP'), ('การ', 'NOUN'), ('เดินทาง', 'VERB'), ('วัน', 'NOUN'), ('เดียว', 'ADJ'), ('กับ', 'ADP'), ('ภูเก็ต', 'NOUN'), ('ด้วย', 'ADP'), ('คนขับ', 'VERB'), ('ส่วนตัว', 'NOUN'), ('ที่', 'DET'), ('คุณ', 'PRON'), ('ต้องหา', 'VERB'), ('ข้อเสนอ', 'NOUN'), ('ราคา', 'NOUN'), ('ถูก', 'VERB')], [('ผลงาน', 'NOUN'), ('ชิ้นเอก', 'NOUN'), ('ของ', 'ADP'), ('ศิลปะ', 'NOUN'), ('ไทย', 'PROPN'), ('ที่', 'DET'), ('ยอดเยี่ยม', 'ADJ'), ('ที่', 'DET'), ('สร้าง', 'VERB'), ('ขึ้น', 'PART'), ('เมื่อ', 'ADP'), ('หลาย', 'DET'), ('สิบ', 'NUM'), ('ปี', 'NOUN'), ('ที่ผ่านมา', 'DET'), ('ทิวทัศน์', 'NOUN'), ('อัน', 'DET'), ('งดงาม', 'ADJ'), ('จาก', 'ADP'), ('จุดสูงสุด', 'ADV')]]"
"[[('หาด', 'NOUN'), ('สวย', 'NOUN')], [('แออัด', 'PROPN'), ('น้อย', 'ADV'), ('ถ้า', 'ADP'), ('คุณ', 'PRON'), ('เดิน', 'VERB'), ('ไป', 'PART'), ('อีกหน่อย', 'ADV')]]","[[('สถานที่', 'NOUN'), ('ที่', 'DET'), ('ดี', 'ADJ'), ('ที่สุด', 'ADV'), ('ใน', 'ADP'), ('การ', 'NOUN'), ('ชม', 'NOUN'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB'), ('ใน', 'ADP'), ('จังหวัด', 'NOUN'), ('ภูเก็ต', 'NOUN'), ('เป็น', 'AUX'), ('จุด', 'NOUN'), ('ชม', 'VERB'), ('วิว', 'VERB'), ('ที่', 'ADP'), ('สวยงาม', 'ADJ')], [('คุณ', 'PRON'), ('ควร', 'VERB'), ('ไป', 'VERB'), ('ถึง', 'ADP'), ('ครึ่งชั่วโมง', 'VERB'), ('ก่อน', 'ADP'), ('ถึง', 'ADP'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB'), ('เพื่อ', 'ADP'), ('ดู', 'VERB'), ('ความ', 'NOUN'), ('งาม', 'NOUN'), ('ที่', 'DET'), ('แท้จริง', 'ADJ')], [('มี', 'VERB'), ('ฝูงชน', 'NOUN'), ('มากมาย', 'ADJ'), ('ดังนั้น', 'DET'), ('หา', 'VERB'), ('สถานที่', 'NOUN'), ('ที่', 'DET'), ('ดี', 'ADJ'), ('ที่สุด', 'ADV'), ('ของ', 'ADP'), ('คุณ', 'PRON'), ('เพื่อ', 'ADP'), ('ชม', 'VERB'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB')], [('คุณ', 'PRON'), ('ได้', 'VERB'), ('ทุก', 'DET'), ('อย่าง', 'NOUN'), ('เพื่อ', 'ADP'), ('กิน', 'VERB'), ('ใกล้', 'NOUN'), ('จุด', 'NOUN'), ('นี้', 'DET')], [('อย่า', 'NOUN'), ('พลาด', 'NOUN'), ('น้ำมะพร้าว', 'NOUN')]]","[[('วัด', 'NOUN'), ('ที่', 'DET'), ('สะอาด', 'VERB'), ('และ', 'CCONJ'), ('สวยงาม', 'VERB'), ('มาก', 'ADV')], [('ได้รับ', 'VERB'), ('การ', 'NOUN'), ('ดูแล', 'VERB'), ('อย่าง', 'ADP'), ('ดี', 'ADJ')], [('ผู้คน', 'NOUN'), ('ติดตาม', 'VERB'), ('วินัย', 'NOUN'), ('ที่นี่', 'ADJ')], [('คุณ', 'PRON'), ('สามารถ', 'VERB'), ('มองเห็น', 'VERB'), ('พระพุทธรูป', 'NOUN'), ('องค์', 'NOUN'), ('ใหญ่', 'ADJ'), ('ได้', 'PART'), ('จาก', 'ADP'), ('ที่นี่', 'PRON'), ('บน', 'ADP'), ('ภูเขา', 'NOUN')]]"
"[[('ชายหาด', 'NOUN'), ('สวย', 'VERB'), ('ดี', 'ADJ')], [('ไม่', 'PART'), ('เห็น', 'VERB'), ('ขยะ', 'NOUN'), ('ใดๆ', 'ADJ')], [('กิจกรรม', 'NOUN'), ('ทาง', 'ADP'), ('น้ำ', 'NOUN'), ('มากมาย', 'ADJ')], [('เก้าอี้', 'NOUN'), ('อาบแดด', 'PROPN')]]","[[('สถานที่', 'NOUN'), ('สงบ', 'VERB'), ('และ', 'CCONJ'), ('เงียบสงบ', 'VERB')], [('เยี่ยม', 'NOUN'), ('ชม', 'NOUN'), ('สถานที่', 'NOUN'), ('นี้', 'DET'), ('ก่อน', 'ADP'), ('พระอาทิตย์', 'NOUN'), ('ตกดิน', 'VERB'), ('เริ่มต้น', 'VERB'), ('ค้นหา', 'VERB'), ('สถานที่', 'NOUN'), ('ที่', 'DET'), ('สวยงาม', 'VERB'), ('ระหว่าง', 'ADP'), ('ต้นมะพร้าว', 'NOUN'), ('และ', 'CCONJ'), ('เพลิดเพลิน', 'PROPN'), ('กับ', 'CCONJ'), ('ทิวทัศน์', 'NOUN')], [('ความกังวล', 'VERB'), ('ทั้งหมด', 'DET'), ('ที่', 'DET'), ('คุณ', 'PRON'), ('อาจ', 'VERB'), ('มี', 'VERB'), ('จะ', 'VERB'), ('หาย', 'VERB'), ('ไป', 'PART')], [('มี', 'VERB'), ('จุด', 'NOUN'), ('เดินป่า', 'VERB'), ('เล็ก', 'ADJ'), ('ๆ', 'SYM')], [('เช่นกัน', 'PROPN')]]","[[('ราคา', 'NOUN'), ('โปรด', 'ADJ'), ('ของ', 'ADP'), ('ฉัน', 'PRON'), ('ฟรี', 'PROPN'), ('เหมาะ', 'PROPN'), ('สำหรับ', 'ADP'), ('การ', 'NOUN'), ('ออก', 'VERB'), ('ไป', 'PART'), ('เที่ยวเล่น', 'VERB'), ('นอกสถานที่', 'NOUN'), ('สถาปนิก', 'NOUN'), ('ที่', 'DET'), ('น่ารัก', 'VERB')]]"
"[[('สิ่ง', 'NOUN'), ('ที่', 'DET'), ('ดี', 'ADJ'), ('.', 'ADV')]]","[[('สถานที่', 'NOUN'), ('มี', 'VERB'), ('ชื่อเสียง', 'NOUN'), ('ใน', 'ADP'), ('การ', 'NOUN'), ('ชม', 'NOUN'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB'), ('ที่', 'DET'), ('ยิ่งใหญ่', 'ADJ')], [('นอกจากนี้', 'PRON'), ('ยัง', 'ADV'), ('มี', 'VERB'), ('ช่วง', 'NOUN'), ('ระยะ', 'NOUN'), ('การ', 'NOUN'), ('เดินทาง', 'VERB'), ('ที่', 'DET'), ('ดี', 'ADJ'), ('สิบ', 'ADV'), ('ห้า', 'NUM'), ('ยี่', 'NOUN'), ('สิบ', 'NUM'), ('นาที', 'NOUN')], [('นักท่องเที่ยว', 'NOUN'), ('ส่วนใหญ่', 'VERB'), ('มา', 'PART'), ('ที่นี่', 'ADV'), ('เพื่อ', 'ADP'), ('ชม', 'VERB'), ('ความ', 'VERB'), ('งดงาม', 'ADJ'), ('และ', 'CCONJ'), ('เพลิดเพลิน', 'PROPN'), ('กับ', 'CCONJ'), ('ช่วงเวลา', 'NOUN'), ('ที่', 'DET'), ('สงบสุข', 'VERB'), ('รอบ', 'ADP'), ('มหาสมุทร', 'NOUN')], [('แท้จริง', 'ADJ'), ('คุณ', 'NOUN'), ('สามารถ', 'VERB'), ('ใช้', 'VERB'), ('เวลา', 'NOUN'), ('หนึ่ง', 'NUM'), ('ชั่วโมง', 'NOUN'), ('หรือ', 'CCONJ'), ('มาก', 'ADV'), ('กว่า', 'ADP'), ('นั้น', 'PRON'), ('ใน', 'ADP'), ('สถานที่', 'NOUN')], [('แหลม', 'NOUN'), ('พรหม', 'NOUN'), ('เทพ', 'VERB'), ('ให้', 'VERB'), ('ภาพ', 'NOUN'), ('ที่', 'DET'), ('สวยงาม', 'VERB'), ('ดังนั้น', 'ADV'), ('อย่า', 'NOUN'), ('ลืม', 'NOUN'), ('คลิก', 'VERB'), ('รูป', 'NOUN'), ('สวย', 'ADJ'), ('ๆ', 'SYM')]]","[[('วัด', 'NOUN'), ('พุทธ', 'NOUN'), ('ที่', 'DET'), ('สวยงาม', 'ADJ'), ('มาก', 'ADV')], [('สถาปัตยกรรม', 'NOUN'), ('ที่', 'DET'), ('ดี', 'ADJ')], [('ไม่', 'PART'), ('มี', 'VERB'), ('ค่าธรรมเนียม', 'NOUN'), ('แรก', 'ADJ'), ('เข้า', 'VERB')], [('แต่', 'CCONJ'), ('อย่า', 'NOUN'), ('ลืม', 'NOUN'), ('ถอด', 'VERB'), ('รองเท้า', 'NOUN'), ('ก่อน', 'ADP'), ('เข้า', 'PART'), ('วัด', 'VERB')], [('เป็น', 'AUX'), ('ที่', 'PRON'), ('น่าสนใจ', 'VERB'), ('ที่', 'ADP'), ('จะ', 'VERB'), ('ดู', 'VERB'), ('ว่า', 'ADP'), ('พวกเขา', 'NOUN'), ('ระเบิด', 'VERB'), ('แครก', 'NOUN'), ('เกอร์', 'PROPN'), ('ภายใน', 'NOUN'), ('โดม', 'NOUN'), ('อิฐ', 'ADJ'), ('อย่างไร', 'ADV')], [('ป.ล.', 'NOUN')], [('พก', 'NOUN'), ('ร่ม', 'NOUN'), ('และ', 'CCONJ'), ('สวม', 'NOUN'), ('ถุงเท้า', 'NOUN'), ('ถ้า', 'ADP'), ('คุณ', 'PRON'), ('รัก', 'VERB'), ('ผิว', 'NOUN'), ('และ', 'CCONJ'), ('เท้า', 'NOUN'), ('ของ', 'ADP'), ('คุณ', 'PRON')]]"
"[[('ชายหาด', 'NOUN'), ('ที่', 'DET'), ('ดี', 'ADJ')], [('ค่อนข้าง', 'NOUN'), ('แออัด', 'NOUN')], [('แต่', 'CCONJ'), ('ไม่', 'PART'), ('แออัด', 'VERB'), ('อย่าง', 'ADP'), ('ที่', 'ADP'), ('ฉัน', 'PRON'), ('คาด', 'VERB'), ('ไว้', 'ADV')], [('มี', 'VERB'), ('อะไร', 'PRON'), ('ให้', 'VERB'), ('ทำ', 'VERB'), ('มากมาย', 'NOUN'), ('บน', 'ADP'), ('ถนน', 'NOUN'), ('หลาย', 'DET'), ('สาย', 'NOUN'), ('ที่อยู่', 'VERB'), ('ใกล้', 'ADP'), ('ๆ', 'SYM')], [('เช่นกัน', 'PROPN')]]","[[('มุมมอง', 'NOUN'), ('ที่', 'DET'), ('น่าตื่นตาตื่นใจ', 'VERB'), ('ใน', 'ADP'), ('ทะเล', 'NOUN'), ('และ', 'CCONJ'), ('หมู่เกาะ', 'NOUN')], [('เส้นทาง', 'NOUN'), ('ลื่น', 'ADJ'), ('มาก', 'ADV'), ('และ', 'CCONJ'), ('ต้องการ', 'VERB'), ('ทักษะ', 'NOUN'), ('การ', 'NOUN'), ('ปีน', 'VERB'), ('เขา', 'PRON'), ('เพื่อ', 'ADP'), ('ให้', 'VERB'), ('ได้', 'VERB'), ('ภาพ', 'NOUN'), ('ที่', 'DET'), ('ดี', 'ADJ'), ('ที่สุด', 'ADV')]]","[[('ไป', 'PART'), ('เร็ว', 'ADV'), ('มาก', 'ADV'), ('หรือ', 'CCONJ'), ('ช้า', 'ADV')], [('เวลา', 'NOUN'), ('กลางวัน', 'NOUN'), ('ยุ่ง', 'VERB'), ('มาก', 'ADV'), ('และ', 'CCONJ'), ('ร้อน', 'ADJ'), ('มาก', 'ADV')]]"
"[[('แออัด', 'PROPN'), ('ไป', 'PART'), ('ด้วย', 'ADP'), ('กิจกรรม', 'NOUN'), ('มากมาย', 'ADJ')], [('คนใน', 'VERB'), ('ท้องถิ่น', 'NOUN'), ('ที่', 'DET'), ('ทำ', 'VERB'), ('กิจกรรม', 'NOUN'), ('ชายหาด', 'NOUN'), ('นั้น', 'DET'), ('หยาบคาย', 'NOUN'), ('และ', 'CCONJ'), ('หยิ่งผยอง', 'NOUN')]]","[[('ต้อง', 'VERB'), ('ไป', 'VERB'), ('เยี่ยม', 'ADV'), ('ชม', 'NOUN'), ('สถานที่', 'NOUN'), ('แห่ง', 'ADP'), ('นี้', 'PRON'), ('ทิวทัศน์', 'NOUN'), ('ที่', 'DET'), ('สวยงาม', 'ADJ'), ('มาก', 'ADV'), ('โดยเฉพาะ', 'ADV'), ('ใน', 'ADP'), ('ช่วงเวลา', 'NOUN'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB')], [('สามารถ', 'VERB'), ('มองเห็น', 'VERB'), ('ทะเลอันดามัน', 'NOUN'), ('และ', 'CCONJ'), ('ยัง', 'ADP'), ('คุ้มค่า', 'VERB'), ('แก่', 'ADP'), ('การ', 'NOUN'), ('เยี่ยม', 'ADJ'), ('ชม', 'NOUN'), ('สำหรับ', 'ADP'), ('ทุก', 'DET'), ('คน', 'NOUN')], [('มี', 'VERB'), ('ร้านค้า', 'NOUN'), ('บาง', 'DET'), ('ร้านขายเสื้อผ้า', 'NOUN'), ('เครื่องดื่ม', 'VERB'), ('และ', 'CCONJ'), ('อื่นๆ', 'NOUN')], [('ค่า', 'NOUN'), ('เข้า', 'VERB'), ('ชม', 'VERB'), ('เป็น', 'AUX'), ('ฟรี', 'PROPN')], [('ตรวจสอบ', 'VERB'), ('ให้', 'VERB'), ('แน่ใจ', 'VERB'), ('ว่า', 'ADP'), ('ได้', 'PART'), ('เดิน', 'VERB'), ('ไป', 'PART'), ('รอบๆ', 'VERB')], [('บริเวณ', 'NOUN'), ('นั้น', 'DET'), ('ซึ่ง', 'DET'), ('ประกอบ', 'VERB'), ('ด้วย', 'ADP'), ('เนินเขา', 'NOUN'), ('ขึ้น', 'PART'), ('ลง', 'PART'), ('และ', 'CCONJ'), ('ระวัง', 'VERB'), ('ลิง', 'ADV'), ('ด้วย', 'ADV')]]","[[('วัด', 'NOUN'), ('ที่', 'DET'), ('สวยงาม', 'ADJ'), ('และ', 'CCONJ'), ('บรรยากาศ', 'NOUN'), ('อัน', 'DET'), ('เงียบสงบ', 'ADJ')]]"
"[[('ชายหาด', 'NOUN'), ('ที่', 'DET'), ('สวยงาม', 'ADJ'), ('พร้อม', 'VERB'), ('น้ำทะเล', 'NOUN'), ('ใส', 'ADJ')], [('มี', 'VERB'), ('กิจกรรม', 'NOUN'), ('กีฬา', 'NOUN'), ('ทาง', 'ADP'), ('น้ำ', 'NOUN'), ('มากมาย', 'ADJ')], [('มัน', 'PRON'), ('คุ้มค่า', 'VERB'), ('ที่', 'ADP'), ('จะ', 'VERB'), ('ไป', 'PART'), ('ที่นั่น', 'ADV')]]","[[('ว้าว', 'NOUN'), ('ที่นี่', 'DET'), ('ช่าง', 'NOUN'), ('น่าอัศจรรย์', 'NOUN'), ('จริงๆ', 'PROPN')], [('ฉัน', 'PRON'), ('ไป', 'ADV'), ('ที่นี่', 'ADV'), ('เหมือน', 'AUX'), ('ยี่', 'ADV'), ('สิบ', 'NUM'), ('นาที', 'NOUN'), ('จาก', 'ADP'), ('หาด', 'NOUN'), ('กะ', 'VERB'), ('ตะ', 'VERB'), ('โดย', 'ADP'), ('มอเตอร์ไซค์', 'PROPN')], [('และ', 'CCONJ'), ('เมื่อ', 'ADP'), ('คุณ', 'VERB'), ('มา', 'VERB'), ('ถึง', 'ADP'), ('คุณ', 'PRON'), ('จะ', 'VERB'), ('ต้อง', 'VERB'), ('ขึ้น', 'PART'), ('เขา', 'PRON'), ('ประมาณ', 'ADV'), ('ยี่', 'NUM'), ('สิบ', 'NUM'), ('ห้า', 'NUM'), ('นาที', 'NOUN'), ('เพื่อ', 'ADP'), ('ไป', 'VERB'), ('ยัง', 'ADP'), ('จุดสูงสุด', 'ADJ'), ('ของ', 'ADP'), ('จุด', 'NOUN'), ('ที่', 'DET'), ('สวยงาม', 'ADJ'), ('แห่ง', 'ADP'), ('นี้', 'PRON')], [('อย่า', 'PROPN'), ('ลืม', 'NOUN'), ('นำ', 'VERB'), ('น้ำ', 'NOUN'), ('มา', 'PART'), ('ด้วย', 'ADP'), ('เพราะ', 'ADP'), ('มัน', 'PRON'), ('ค่อนข้าง', 'VERB'), ('เหนื่อย', 'ADV'), ('และ', 'CCONJ'), ('โปรด', 'NOUN'), ('รักษา', 'VERB'), ('สถานที่', 'NOUN'), ('นี้', 'DET'), ('ให้', 'VERB'), ('สะอาด', 'ADV'), ('ฉัน', 'PRON'), ('เตือน', 'VERB'), ('พวก', 'NOUN'), ('คุณ', 'PRON')]]","[[('เยี่ยม', 'NOUN'), ('ชม', 'NOUN'), ('ใน', 'ADP'), ('ตอนเช้า', 'NOUN')], [('สถานที่', 'NOUN'), ('ที่', 'DET'), ('สวยงาม', 'ADJ'), ('และ', 'CCONJ'), ('เงียบสงบ', 'VERB'), ('มาก', 'ADV')]]"
"[[('ชายหาด', 'NOUN'), ('ที่', 'DET'), ('สะอาด', 'ADJ')], [('ใช้', 'VERB'), ('เวลา', 'NOUN'), ('ช่วง', 'NOUN'), ('บ่าย', 'NOUN'), ('ที่', 'DET'), ('น่าอัศจรรย์', 'VERB')]]","[[('มัน', 'PRON'), ('บอก', 'VERB'), ('ว่า', 'ADP'), ('นี่', 'PRON'), ('เป็น', 'AUX'), ('จุด', 'NOUN'), ('ที่', 'DET'), ('ดี', 'ADJ'), ('ที่สุด', 'ADV'), ('สำหรับ', 'ADP'), ('การ', 'NOUN'), ('ชม', 'NOUN'), ('พระอาทิตย์', 'NOUN'), ('ตก', 'VERB')], [('สถานที่', 'NOUN'), ('นี้', 'DET'), ('แออัด', 'VERB'), ('มาก', 'ADV'), ('และ', 'CCONJ'), ('ใน', 'ADP'), ('เวลา', 'NOUN'), ('เย็น', 'ADJ'), ('คุณ', 'PRON'), ('จะ', 'VERB'), ('พบ', 'VERB'), ('ว่า', 'ADP'), ('มัน', 'PRON'), ('ยาก', 'ADJ'), ('ที่', 'DET'), ('จะ', 'VERB'), ('หา', 'VERB'), ('ที่จอดรถ', 'NOUN')], [('ผู้คน', 'NOUN'), ('อยู่', 'VERB'), ('ที่นี่', 'ADV'), ('เพื่อ', 'ADP'), ('ดู', 'VERB'), ('ดวงอาทิตย์', 'NOUN'), ('ลับขอบฟ้า', 'NOUN')], [('สถานที่', 'NOUN'), ('นั้น', 'DET'), ('สวยงาม', 'ADJ'), ('มาก', 'ADV')], [('คุณ', 'NOUN'), ('สามารถ', 'VERB'), ('เห็น', 'VERB'), ('ทิวทัศน์', 'NOUN'), ('ที่', 'DET'), ('สวยงาม', 'ADJ'), ('ของ', 'ADP'), ('มหาสมุทร', 'NOUN'), ('ชายหาด', 'NOUN'), ('เนินเขา', 'NOUN'), ('และ', 'CCONJ'), ('ความ', 'NOUN'), ('เขียวขจี', 'NOUN'), ('โดย', 'ADP'), ('รอบ', 'NOUN')], [('อย่า', 'NOUN'), ('ลืม', 'NOUN'), ('ที่', 'DET'), ('จะ', 'VERB'), ('ใช้', 'VERB'), ('กล้อง', 'VERB'), ('ในขณะที่', 'NOUN'), ('ไป', 'PART'), ('ที่นั่น', 'ADV')], [('การ', 'NOUN'), ('ขนส่ง', 'VERB'), ('เป็น', 'AUX'), ('ไป', 'PART'), ('อย่าง', 'ADP'), ('ง่ายดาย', 'PROPN'), ('ไป', 'PART'), ('และ', 'CCONJ'), ('กลับ', 'VERB'), ('จาก', 'ADP'), ('ที่นี่', 'PRON')], [('หาก', 'ADP'), ('คุณ', 'PRON'), ('อยู่', 'VERB'), ('กับ', 'ADP'), ('เด็กๆ', 'PROPN')], [('และ', 'CCONJ'), ('ผู้สูงอายุ', 'NOUN'), ('ก็', 'ADV'), ('ควร', 'VERB'), ('ระวัง', 'VERB'), ('ให้', 'VERB'), ('มาก', 'ADV')]]","[[('วัด', 'NOUN'), ('ฉลอง', 'VERB'), ('มี', 'VERB'), ('วัด', 'NOUN'), ('ที่', 'DET'), ('สวยงาม', 'ADJ'), ('หลาย', 'DET'), ('แห่ง', 'NOUN'), ('อยู่', 'VERB'), ('ใน', 'ADP'), ('สภาพ', 'NOUN'), ('ดี', 'ADJ'), ('และ', 'CCONJ'), ('ไม่', 'PART'), ('มี', 'VERB'), ('พวกเขา', 'NOUN'), ('อยู่', 'VERB'), ('ใน', 'ADP'), ('ขั้นตอน', 'NOUN'), ('การ', 'NOUN'), ('ปรับปรุง', 'NOUN'), ('บาง', 'DET'), ('ส่วน', 'NOUN'), ('ภายนอก', 'NOUN')], [('แต่', 'CCONJ'), ('มัน', 'PRON'), ('ไม่ได้', 'VERB'), ('ส่งผลกระทบ', 'VERB'), ('ต่อ', 'ADP'), ('ประสบการณ์', 'NOUN')], [('มี', 'VERB'), ('นักท่องเที่ยว', 'NOUN'), ('ไม่', 'PART'), ('มาก', 'ADV'), ('นัก', 'NOUN'), ('เมื่อ', 'ADP'), ('เรา', 'PRON'), ('อยู่', 'VERB'), ('ที่นั่น', 'ADV'), ('ใน', 'ADP'), ('ช่วง', 'NOUN'), ('เที่ยง', 'NOUN'), ('วันศุกร์', 'PROPN'), ('ใน', 'ADP'), ('ช่วง', 'NOUN'), ('ฤดูท่องเที่ยว', 'NOUN')], [('เมื่อ', 'ADP'), ('เรา', 'PRON'), ('เข้า', 'VERB'), ('ไป', 'PART'), ('ใน', 'ADP'), ('วัด', 'NOUN'), ('ที่', 'DET'), ('ใหญ่', 'ADJ'), ('ที่สุด', 'ADV'), ('ไม่', 'PART'), ('มี', 'VERB'), ('ใคร', 'PRON'), ('แจก', 'VERB'), ('โสร่ง', 'PROPN')], [('แต่', 'CCONJ'), ('มี', 'VERB'), ('บาง', 'DET'), ('คน', 'NOUN'), ('เมื่อ', 'ADP'), ('เรา', 'PRON'), ('ออก', 'VERB'), ('ไป', 'PART')], [('ดี', 'ADJ'), ('กว่า', 'ADV'), ('ที่', 'DET'), ('จะ', 'VERB'), ('สวมใส่', 'VERB'), ('เสื้อผ้า', 'NOUN'), ('ที่', 'DET'), ('เรียบง่าย', 'VERB'), ('ไม่', 'PART'), ('มี', 'VERB'), ('เสื้อกล้าม', 'VERB'), ('และ', 'CCONJ'), ('หัวเข่า', 'NOUN'), ('ปกคลุม', 'VERB'), ('สำหรับ', 'ADP'), ('ผู้หญิง', 'NOUN')], [('สามารถ', 'VERB'), ('แนะนำ', 'VERB'), ('ให้', 'VERB'), ('ดู', 'VERB'), ('อย่าง', 'ADP'), ('แน่นอน', 'ADJ')], [('โดยเฉพาะ', 'ADJ'), ('ด้าน', 'NOUN'), ('ใน', 'ADP'), ('ของวัด', 'NOUN'), ('หลัก', 'ADJ'), ('นั้น', 'DET'), ('งดงาม', 'ADJ'), ('และ', 'CCONJ'), ('น่าสนใจ', 'VERB')]]"
